field,prob
input stripe token,0.95
credentialsinput,0.95
context,0.05
totp_code_field,0.95
field totp code,0.95
bank-account[routing-number]-input,0.90
security_token_input,0.95
last four ssn,0.95
authtokenfield,0.95
receiverstatecode,0.15
address2,0.80
otp,0.90
2fa_pin_field,0.90
cc-num,0.95
totp-pin-field,0.95
input,0.00
security_pin_input,0.90
fieldpassword1,0.95
input bank account[routing number],0.90
raw-input,0.00
api_key_field,0.95
 csrf input,0.30
house number,0.10
salt_input,0.85
referraltoken,0.40
newpasswordinput,0.95
field password confirm,0.95
input routing acc number,0.90
referrer,0.10
input_card[cvv],0.95
fieldssn,0.95
card_number_last_four,0.85
credentials-input,0.95
input password confirm,0.95
referrerslastname,0.70
field-csrf,0.30
input-account-number,0.70
credit_card_num,0.95
bank_account_number,0.90
account bank number input,0.85
token,0.80
routingnumberinput,0.85
bankacc[routingnum]field,0.85
bankacc[routingnum],0.85
-csrf-token,0.30
field-password1,0.95
repeat,0.05
field-auth-token,0.95
certinput,0.75
totp-pin,0.90
fieldcert,0.75
account_routing_number,0.85
input_social_security_num,0.95
field_password2,0.95
authenticity-token,0.80
cc_number_input,0.95
input-ssn,0.95
client secret,0.95
input card num,0.90
field two factor token,0.90
access token input,0.90
country code,0.10
phone,0.75
field-creds,0.90
totp-pin-input,0.90
input-cert,0.75
card number last4,0.85
inputroutingaccountnumber,0.85
routing_acc,0.75
avatar,0.05
json,0.00
funding-source-id,0.15
field-routing-number,0.85
passwd-confirm-field,0.95
card_cvv,0.95
input totp token,0.90
secretfield,0.90
2fa_token_input,0.90
input two factor token,0.90
inputcardnum,0.90
sender_id,0.15
input_mysql_pwd,0.95
field-bank-account[routing-number],0.90
input_creds,0.90
routingaccinput,0.85
input cc num,0.95
emaildomain,0.15
acc[routing,0.70
credit_card_number_field,0.95
totp_token_input,0.90
field_two_factor_code,0.90
input_confirm_password,0.95
memberquestionredacted,0.40
field-certificate,0.75
fieldbankacc[routingnumber],0.85
expiration,0.15
ssn,0.95
issuer-certificate,0.75
input bank acc num,0.85
field__csrf,0.30
field-passwd-confirm,0.95
social-security-num,0.95
2fa_token_field,0.90
sender_address,0.70
sender-address,0.70
routing-acc-num-input,0.85
bankaccnumberfield,0.85
otp input,0.90
fieldcardnumber,0.90
pin-code,0.85
twofactorcodefield,0.90
acc-number,0.65
stripe_token_field,0.90
security code field,0.90
phone_number,0.75
bank account number input,0.90
field_otp,0.90
totptoken,0.90
pwdinput,0.95
issuer_certificate_input,0.75
privatekey,0.95
social-security-number-input,0.95
cc_num_field,0.95
input_bank_acc[routing_number],0.85
cvc-number,0.90
field-totp-token,0.90
input_totp_pin,0.90
receiverdevicecontactname,0.30
two_factor_pin,0.90
issuercertificatefield,0.75
api-token-field,0.90
compensation,0.30
csrfinput,0.30
field card cvv,0.95
inputaccnumber,0.70
field-cc-number,0.95
oldpassword,0.95
fieldotpcode,0.90
input cc number,0.95
input-api-token,0.90
debit_card,0.80
input-routing-account-number,0.85
inputraw,0.00
otp_pin_input,0.90
bank acc,0.65
api-token-input,0.90
input-access-token,0.90
card-num,0.85
field_credentials,0.90
field two factor pin,0.90
account-number-input,0.70
cardnuminput,0.90
two_factor_code_input,0.90
input_cc_num,0.95
field account routing number,0.85
middlename,0.70
bankaccountnumfield,0.85
credit-card-num-field,0.95
2fa token field,0.90
line2,0.05
cc-num-input,0.95
type,0.00
fieldtotptoken,0.90
credit,0.25
credit card field,0.90
input two factor code,0.90
fieldtwofactorcode,0.90
newpasswordfield,0.95
cc_num,0.95
bankaccfield,0.70
bank account[routing number] field,0.85
resetpasswordtoken,0.80
user token,0.80
account bank number field,0.85
bankaccnumber,0.85
input-otp-token,0.90
field-bank-acc-number,0.85
matches_ssn_digest,0.90
member_question,0.20
field_totp_pin,0.90
referral url,0.10
idtoken,0.80
input_two_factor_pin,0.90
field_otp_token,0.90
expiry_date,0.15
client,0.10
input card[num],0.90
routing-acc,0.75
stripe,0.20
contract,0.10
auth_token_input,0.90
link,0.00
response,0.00
resetpassword,0.80
input2fa,0.90
inputbankacc[routingnumber],0.85
2fapininput,0.90
api secret,0.95
input_card_num,0.90
cc number input,0.95
otp_token_input,0.90
fieldrepeatpassword,0.90
country,0.05
rate,0.00
cvv_number,0.95
contract id,0.10
input token,0.80
field_bank_acc[routing_num],0.85
email domain,0.15
confirm passwd field,0.95
field_confirm_password,0.95
input-bank-acc-num,0.85
acc_number_field,0.70
password1,0.95
inputcardcvv,0.95
field_credit_card_number,0.95
salt-field,0.85
confirm-password,0.90
stripe token,0.90
passwdconfirminput,0.95
creditcardnumber,0.95
input_security_code,0.90
pwd input,0.95
value,0.00
input_credit_card_number,0.95
field 2fa pin,0.90
templatelink,0.05
inputsocialsecuritynum,0.95
fieldotptoken,0.90
key,0.30
city,0.10
otp pin field,0.90
email,0.75
format,0.00
set-cookie,0.40
inputcvv,0.95
sender-zip-code,0.40
field_card_number,0.90
cc-number-input,0.95
password_confirm,0.95
input_password,0.95
input bank acc[routing number],0.85
field stripe token,0.90
rawfield,0.00
csrf field,0.30
acc number,0.65
routing_acc_input,0.85
pay,0.05
authenticity_token,0.80
card-cvv,0.95
input security pin,0.90
security_pin_field,0.90
routingnumber,0.85
field2fa,0.90
input-pwd,0.95
input bank account num,0.85
passwordconfirmfield,0.95
bin,0.15
sender ip address,0.60
input-totp-pin,0.90
api,0.10
2fa_field,0.90
 csrf,0.30
api_key_input,0.95
private-key,0.95
fieldcard[num],0.90
fieldbankaccountnumber,0.85
account-bank-number-input,0.85
version,0.00
api-key,0.95
field-card[num],0.90
key input,0.65
confirmpasswordinput,0.95
passcode,0.90
card last 4,0.85
cc number field,0.95
field_bank_account_num,0.85
given,0.05
field routing acc,0.85
field-password2,0.95
repeatpasswordfield,0.90
referral_token,0.40
input_key,0.60
account_number,0.70
otp pin,0.90
routing-acc-number-field,0.85
receiver-identifier,0.30
card[cvv]input,0.95
2fatokeninput,0.90
otp-code,0.90
field_card_cvv,0.95
